Date,Device,Vehicle,Spend
2021-03-26,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-27,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-28,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-29,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-03-30,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-03-31,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-01,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-02,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-03,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-04,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-05,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-06,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-07,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-08,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-09,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-10,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-11,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-12,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-13,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-14,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-15,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-16,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-17,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-18,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-19,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-20,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-21,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-22,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-23,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-24,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-04-25,Vizio,Vizio Discover Devil in Disguise ACR,327.38
2021-03-01,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-02,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-03,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-04,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-05,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-06,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-07,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-08,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-09,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-10,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-11,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-12,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-13,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-14,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-15,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-16,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-17,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-18,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-19,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-20,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-21,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-22,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-23,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-24,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-25,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-26,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-27,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
2021-03-28,Vizio,Vizio Homescreen Hero Devil in Disguise ACR,486.11
