Date,Device,CNT,Owner
2021-03-23,amazon fire tv,726,Amazon
2021-03-24,amazon fire tablet,3,Amazon
2021-03-24,amazon fire tv,595,Amazon
2021-03-25,amazon fire tablet,2,Amazon
2021-03-25,amazon fire tv,718,Amazon
2021-03-26,amazon fire tablet,3,Amazon
2021-03-26,amazon fire tv,712,Amazon
2021-03-27,amazon fire tv,951,Amazon
2021-03-28,amazon fire tablet,2,Amazon
2021-03-28,amazon fire tv,1141,Amazon
2021-03-29,amazon fire tablet,2,Amazon
2021-03-29,amazon fire tv,719,Amazon
2021-03-30,amazon fire tablet,4,Amazon
2021-03-30,amazon fire tv,653,Amazon
2021-03-31,amazon fire tv,836,Amazon
2021-04-01,amazon fire tablet,2,Amazon
2021-04-01,amazon fire tv,818,Amazon
2021-04-02,amazon fire tablet,2,Amazon
2021-04-02,amazon fire tv,1015,Amazon
2021-04-03,amazon fire tablet,4,Amazon
2021-04-03,amazon fire tv,957,Amazon
2021-04-04,amazon fire tablet,4,Amazon
2021-04-04,amazon fire tv,1336,Amazon
2021-04-05,amazon fire tablet,6,Amazon
2021-04-05,amazon fire tv,1012,Amazon
2021-04-06,amazon fire tablet,5,Amazon
2021-04-06,amazon fire tv,1253,Amazon
2021-04-07,amazon fire tablet,5,Amazon
2021-04-07,amazon fire tv,993,Amazon
2021-04-08,amazon fire tablet,169,Amazon
2021-04-08,amazon fire tv,1166,Amazon
2021-04-09,amazon fire tablet,253,Amazon
2021-04-09,amazon fire tv,1126,Amazon
2021-04-10,amazon fire tablet,655,Amazon
2021-04-10,amazon fire tv,4706,Amazon
2021-04-11,amazon fire tablet,340,Amazon
2021-04-11,amazon fire tv,2563,Amazon
2021-04-12,amazon fire tablet,141,Amazon
2021-04-12,amazon fire tv,808,Amazon
2021-04-13,amazon fire tablet,135,Amazon
2021-04-13,amazon fire tv,581,Amazon
2021-04-14,amazon fire tablet,117,Amazon
2021-04-14,amazon fire tv,513,Amazon
2021-04-15,amazon fire tablet,126,Amazon
2021-04-15,amazon fire tv,478,Amazon
2021-04-16,amazon fire tablet,160,Amazon
2021-04-16,amazon fire tv,543,Amazon
2021-04-17,amazon fire tablet,172,Amazon
2021-04-17,amazon fire tv,758,Amazon
2021-04-18,amazon fire tablet,160,Amazon
2021-04-18,amazon fire tv,768,Amazon
2021-04-19,amazon fire tablet,140,Amazon
2021-04-19,amazon fire tv,494,Amazon
2021-04-20,amazon fire tablet,124,Amazon
2021-04-20,amazon fire tv,454,Amazon
2021-04-21,amazon fire tablet,137,Amazon
2021-04-21,amazon fire tv,534,Amazon
2021-04-22,amazon fire tablet,158,Amazon
2021-04-22,amazon fire tv,490,Amazon
2021-04-23,amazon fire tablet,141,Amazon
2021-04-23,amazon fire tv,537,Amazon
2021-04-24,amazon fire tablet,181,Amazon
2021-04-24,amazon fire tv,788,Amazon
2021-04-25,amazon fire tablet,201,Amazon
2021-04-25,amazon fire tv,820,Amazon
2021-04-26,amazon fire tablet,143,Amazon
2021-04-26,amazon fire tv,546,Amazon
2021-04-27,amazon fire tablet,133,Amazon
2021-04-27,amazon fire tv,462,Amazon
2021-04-28,amazon fire tablet,147,Amazon
2021-04-28,amazon fire tv,464,Amazon
2021-04-29,amazon fire tablet,153,Amazon
2021-04-29,amazon fire tv,445,Amazon
2021-04-30,amazon fire tablet,136,Amazon
2021-04-30,amazon fire tv,500,Amazon
2021-05-01,amazon fire tablet,197,Amazon
2021-05-01,amazon fire tv,755,Amazon
2021-05-02,amazon fire tablet,162,Amazon
2021-05-02,amazon fire tv,660,Amazon
2021-05-03,amazon fire tablet,132,Amazon
2021-05-03,amazon fire tv,520,Amazon
2021-05-04,amazon fire tablet,124,Amazon
2021-05-04,amazon fire tv,416,Amazon
2021-05-05,amazon fire tablet,137,Amazon
2021-05-05,amazon fire tv,420,Amazon
2021-05-06,amazon fire tablet,134,Amazon
2021-05-06,amazon fire tv,543,Amazon
2021-05-07,amazon fire tablet,133,Amazon
2021-05-07,amazon fire tv,535,Amazon
2021-05-08,amazon fire tablet,192,Amazon
2021-05-08,amazon fire tv,856,Amazon
2021-05-09,amazon fire tablet,164,Amazon
2021-05-09,amazon fire tv,757,Amazon
2021-05-10,amazon fire tablet,124,Amazon
2021-05-10,amazon fire tv,547,Amazon
2021-05-11,amazon fire tablet,114,Amazon
2021-05-11,amazon fire tv,509,Amazon
2021-05-12,amazon fire tablet,110,Amazon
2021-05-12,amazon fire tv,468,Amazon
2021-05-13,amazon fire tablet,138,Amazon
2021-05-13,amazon fire tv,464,Amazon
2021-05-14,amazon fire tablet,151,Amazon
2021-05-14,amazon fire tv,454,Amazon
2021-05-15,amazon fire tablet,176,Amazon
2021-05-15,amazon fire tv,611,Amazon
2021-05-16,amazon fire tablet,224,Amazon
2021-05-16,amazon fire tv,983,Amazon
2021-05-17,amazon fire tablet,174,Amazon
2021-05-17,amazon fire tv,611,Amazon
2021-05-18,amazon fire tablet,170,Amazon
2021-05-18,amazon fire tv,594,Amazon
2021-05-19,amazon fire tablet,168,Amazon
2021-05-19,amazon fire tv,525,Amazon
2021-05-20,amazon fire tablet,140,Amazon
2021-05-20,amazon fire tv,467,Amazon
2021-05-21,amazon fire tablet,166,Amazon
2021-05-21,amazon fire tv,539,Amazon
2021-05-22,amazon fire tablet,203,Amazon
2021-05-22,amazon fire tv,903,Amazon
2021-05-23,amazon fire tablet,220,Amazon
2021-05-23,amazon fire tv,766,Amazon
2021-05-24,amazon fire tablet,181,Amazon
2021-05-24,amazon fire tv,536,Amazon
2021-05-25,amazon fire tablet,159,Amazon
2021-05-25,amazon fire tv,426,Amazon
2021-05-26,amazon fire tablet,147,Amazon
2021-05-26,amazon fire tv,400,Amazon
2021-05-27,amazon fire tablet,132,Amazon
2021-05-27,amazon fire tv,379,Amazon
2021-05-28,amazon fire tablet,160,Amazon
2021-05-28,amazon fire tv,403,Amazon
2021-05-29,amazon fire tablet,197,Amazon
2021-05-29,amazon fire tv,551,Amazon
2021-05-30,amazon fire tablet,245,Amazon
2021-05-30,amazon fire tv,687,Amazon
2021-05-31,amazon fire tablet,183,Amazon
2021-05-31,amazon fire tv,565,Amazon
2021-06-01,amazon fire tablet,187,Amazon
2021-06-01,amazon fire tv,388,Amazon
2021-06-02,amazon fire tablet,162,Amazon
2021-06-02,amazon fire tv,413,Amazon
2021-06-03,amazon fire tablet,205,Amazon
