Date,Device,CNT
9/1/2020,samsung tv,106
9/1/2020,unknown,1147
9/1/2020,vizio,3402
9/1/2020,web,8827
9/1/2020,xbox one,1310
9/1/2020,xfinity,23667
9/2/2020,amazon fire tablet,1
9/2/2020,amazon fire tv,1474
9/2/2020,android mobile,11900
9/2/2020,android tv,905
9/2/2020,apple tv,2267
9/2/2020,cox,2984
9/2/2020,ios mobile,18749
9/2/2020,lg smart tv,1376
9/2/2020,ps4,10698
9/2/2020,roku,63
9/2/2020,samsung tv,104
9/2/2020,unknown,1232
9/2/2020,vizio,2564
9/2/2020,web,8904
9/2/2020,xbox one,1247
9/2/2020,xfinity,26643
9/3/2020,amazon fire tv,1415
9/3/2020,android mobile,11464
9/3/2020,android tv,950
9/3/2020,apple tv,2353
9/3/2020,cox,2926
9/3/2020,ios mobile,18324
9/3/2020,lg smart tv,1338
9/3/2020,ps4,11448
9/3/2020,roku,75
9/3/2020,samsung tv,108
9/3/2020,unknown,1322
9/3/2020,vizio,2393
9/3/2020,web,9057
9/3/2020,xbox one,1347
9/3/2020,xfinity,26121
9/4/2020,amazon fire tablet,1
9/4/2020,amazon fire tv,1442
9/4/2020,android mobile,11643
9/4/2020,android tv,986
9/4/2020,apple tv,2574
9/4/2020,cox,3031
9/4/2020,ios mobile,18527
9/4/2020,lg smart tv,1273
9/4/2020,ps4,7031
9/4/2020,roku,78
9/4/2020,samsung tv,102
9/4/2020,unknown,1394
9/4/2020,vizio,2261
9/4/2020,web,9011
9/4/2020,xbox one,1094
9/4/2020,xfinity,27156
9/5/2020,amazon fire tv,2399
9/5/2020,android mobile,13612
9/5/2020,android tv,1315
9/5/2020,apple tv,3280
9/5/2020,cox,3849
9/5/2020,ios mobile,20887
9/5/2020,lg smart tv,1951
9/5/2020,ps4,6877
9/5/2020,roku,84
9/5/2020,samsung tv,133
9/5/2020,unknown,1605
9/5/2020,vizio,2730
9/5/2020,web,9416
9/5/2020,xbox one,1281
9/5/2020,xfinity,39194
9/6/2020,amazon fire tablet,1
9/6/2020,amazon fire tv,2136
9/6/2020,android mobile,13771
9/6/2020,android tv,1339
9/6/2020,apple tv,3433
9/6/2020,cox,3755
9/6/2020,ios mobile,21959
9/6/2020,lg smart tv,2062
9/6/2020,ps4,7723
9/6/2020,roku,71
9/6/2020,samsung tv,147
9/6/2020,unknown,1587
9/6/2020,vizio,3284
9/6/2020,web,9593
9/6/2020,xbox one,1530
9/6/2020,xfinity,34555
9/7/2020,amazon fire tv,2066
9/7/2020,android mobile,13963
9/7/2020,android tv,1364
9/7/2020,apple tv,3644
9/7/2020,cox,3448
9/7/2020,ios mobile,24138
9/7/2020,lg smart tv,2178
9/7/2020,ps4,7741
9/7/2020,roku,91
9/7/2020,samsung tv,157
9/7/2020,unknown,1597
9/7/2020,vizio,5245
9/7/2020,web,10309
9/7/2020,xbox one,1673
9/7/2020,xfinity,31357
9/8/2020,amazon fire tv,1562
9/8/2020,android mobile,11863
9/8/2020,android tv,1053
